2Theta,Ortho,Tetrag
21.99853028,1656.026618	,1624.856719
22.02453028,1638.53145	,1636.841558
22.05053028,1607.212116	,1585.764173
22.07653028,1605.829571	,1640.511121
22.10253028,1614.97307	,1679.588542
22.12853028,1601.291198	,1633.450676
22.15453028,1578.46854	,1660.439577
22.18053028,1589.300433	,1668.998167
22.20653028,1634.325425	,1647.483829
22.23253028,1676.003131	,1605.387984
22.25853028,1676.495953	,1546.820716
22.28453028,1562.01119	,1651.672669
22.31053028,1556.503796	,1651.691693
22.33653028,1544.894946	,1614.588691
22.36253028,1581.739253	,1590.228062
22.38853028,1586.826452	,1544.762084
22.41453028,1577.011297	,1630.341355
22.44053028,1588.855357	,1685.528447
22.46653028,1659.151758	,1707.46199
22.49253028,1691.667945	,1669.040124
22.51853028,1580.951897	,1666.090076
22.54453028,1572.908647	,1723.422832
22.57053028,1575.933342	,1742.964449
22.59653028,1661.293117	,1655.302384
22.62253028,1662.526153	,1707.230639
22.64853028,1725.241416	,1590.685741
22.67453028,1604.406849	,1578.564152
22.70053028,1592.267467	,1613.721565
22.72653028,1711.666437	,1652.73724
22.75253028,1651.805605	,1627.39227
22.77853028,1651.107615	,1574.800557
22.80453028,1684.106725	,1656.943495
22.83053028,1729.1831	,1694.554198
22.85653028,1667.787009	,1587.07366
22.88253028,1603.431956	,1604.895059
22.90853028,1615.798586	,1623.70034
22.93453028,1610.169328	,1701.908287
22.96053028,1541.582226	,1606.669107
22.98653028,1630.583311	,1584.887802
23.01253028,1568.934311	,1641.593083
23.03853028,1541.660017	,1560.947484
23.06453028,1554.684141	,1603.873381
23.09053028,1655.652948	,1647.319753
23.11653028,1499.537861	,1560.58884
23.14253028,1565.181891	,1590.360961
23.16853028,1544.941694	,1615.352619
23.19453028,1556.751762	,1656.488913
23.22053028,1596.187657	,1614.460584
23.24653028,1640.470925	,1683.930408
23.27253028,1527.903557	,1653.930453
23.29853028,1521.872449	,1600.09646
23.32453028,1547.170747	,1580.997803
23.35053028,1609.870537	,1604.273875
23.37653028,1550.56106	,1524.680867
23.40253028,1532.215891	,1669.389744
23.42853028,1557.13661	,1562.043628
23.45453028,1605.100038	,1560.549208
23.48053028,1602.470012	,1594.971639
23.50653028,1619.918942	,1594.457168
23.53253028,1556.187661	,1592.756921
23.55853028,1595.27263	,1646.710258
23.58453028,1622.247751	,1618.000479
23.61053028,1593.236628	,1576.393434
23.63653028,1521.725578	,1558.541833
23.66253028,1596.519794	,1551.531802
23.68853028,1597.482692	,1510.225857
23.71453028,1542.181321	,1548.121796
23.74053028,1492.37093	,1549.698634
23.76653028,1542.943713	,1526.511695
23.79253028,1543.757821	,1527.473818
23.81853028,1535.829335	,1585.739395
23.84453028,1548.789331	,1606.24552
23.87053028,1528.352156	,1614.806844
23.89653028,1519.682989	,1561.536043
23.92253028,1509.094817	,1558.002827
23.94853028,1503.70457	,1586.531714
23.97453028,1578.535714	,1601.701288
24.00053028,1561.283137	,1583.8004
24.02653028,1501.326999	,1538.503916
24.05253028,1566.035495	,1523.934499
24.07853028,1641.737699	,1531.233867
24.10453028,1576.23516	,1584.507485
24.13053028,1499.872769	,1623.287419
24.15653028,1438.681799	,1643.393033
24.18253028,1479.012058	,1691.893298
24.20853028,1557.973591	,1736.462522
24.23453028,1581.03897	,1723.19333
24.26053028,1565.746206	,1665.305057
24.28653028,1534.920325	,1700.316269
24.31253028,1570.710891	,1773.730333
24.33853028,1604.869661	,1740.847355
24.36453028,1653.7645	,1734.107245
24.39053028,1633.995417	,1767.587025
24.41653028,1663.333622	,1728.012379
24.44253028,1729.152791	,1754.293374
24.46853028,1699.700741	,1783.529243
24.49453028,1643.956889	,1771.174692
24.52053028,1704.329841	,1783.539511
24.54653028,1711.951539	,1806.278696
24.57253028,1640.204564	,1867.664223
24.59853028,1656.930595	,1892.965943
24.62453028,1698.973414	,1839.397283
24.65053028,1652.039089	,1942.212837
24.67653028,1692.823144	,2001.129977
24.70253028,1734.352753	,2036.716027
24.72853028,1772.411192	,2169.414036
24.75453028,1788.623244	,2223.868697
24.78053028,1835.436426	,2495.977426
24.80653028,1816.459945	,2918.487427
24.83253028,1864.981955	,3412.342624
24.85853028,1923.651225	,4190.905864
24.88453028,2000.328167	,5259.543317
24.91053028,2087.441166	,6674.071981
24.93653028,2267.626217	,8765.470361
24.96253028,2503.527828	,12138.5498
24.98853028,2889.873009	,16845.85189
25.01453028,3431.712024	,22106.80503
25.04053028,4116.452485	,24706.20427
25.06653028,5139.577075	,23718.57034
25.09253028,6773.893171	,22024.50636
25.11853028,8801.963166	,20642.58347
25.14453028,11425.02278	,17744.71784
25.17053028,15719.13557	,14084.91324
25.19653028,20425.11324	,10655.51955
25.22253028,25448.25738	,8036.083021
25.24853028,27659.03369	,5542.049896
25.27453028,25907.95774	,4045.284548
25.30053028,22038.02915	,3084.22356
25.32653028,17972.52046	,2668.794712
25.35253028,13840.42851	,2291.806548
25.37853028,10523.16959	,2223.767836
25.40453028,8104.387836	,2029.376737
25.43053028,6197.838288	,1982.802878
25.45653028,4695.017955	,1971.477313
25.48253028,3723.096635	,1836.061348
25.50853028,3016.181127	,1872.694225
25.53453028,2614.491076	,1771.922499
25.56053028,2283.492482	,1754.467878
25.58653028,2164.389896	,1739.58804
25.61253028,1980.140404	,1663.826582
25.63853028,1959.712462	,1713.694768
25.66453028,1890.054192	,1702.102064
25.69053028,1806.514921	,1633.589791
25.71653028,1705.166254	,1664.49114
25.74253028,1787.121406	,1590.433771
25.76853028,1652.483481	,1603.423095
25.79453028,1672.948104	,1614.833922
25.82053028,1588.162386	,1737.264968
25.84653028,1681.087893	,1732.589875
25.87253028,1665.617302	,1678.715101
25.89853028,1702.140956	,1599.235137
25.92453028,1681.7016	,1566.86004
25.95053028,1638.165457	,1615.667266
25.97653028,1603.88486	,1649.650858
26.00253028,1604.434234	,1629.320712
26.02853028,1621.870169	,1584.157902
26.05453028,1593.124889	,1597.501818
26.08053028,1568.549288	,1569.99496
26.10653028,1564.011204	,1596.644194
26.13253028,1598.661753	,1543.23006
26.15853028,1552.772991	,1596.346673
26.18453028,1541.078851	,1592.673916
26.21053028,1525.199346	,1544.387903
26.23653028,1514.332921	,1474.243731
26.26253028,1545.377574	,1533.630865
26.28853028,1563.867136	,1587.435101
26.31453028,1533.872877	,1541.307874
26.34053028,1527.771314	,1582.724921
26.36653028,1542.634404	,1521.392602
26.39253028,1498.303349	,1472.048412
26.41853028,1460.416131	,1477.451879
26.44453028,1545.972175	,1500.671399
26.47053028,1512.857513	,1536.982989
26.49653028,1494.077426	,1545.755232
26.52253028,1576.659766	,1545.637453
26.54853028,1595.015601	,1556.333894
26.57453028,1608.655294	,1481.340403
26.60053028,1626.138391	,1445.272467
26.62653028,1671.449855	,1507.319206
26.65253028,1760.165846	,1497.515352
26.67853028,1791.114698	,1517.681163
26.70453028,1930.206505	,1527.026535
26.73053028,2138.826964	,1496.111024
26.75653028,2208.279788	,1478.843502
26.78253028,2150.951453	,1463.031177
26.80853028,2046.002992	,1495.716766
26.83453028,1867.338629	,1503.714267
26.86053028,1696.879564	,1472.354544
26.88653028,1612.322224	,1471.527735
26.91253028,1543.242703	,1471.720962
26.93853028,1517.554034	,1474.598342
26.96453028,1518.983182	,1523.436645
26.99053028,1484.999412	,1541.608113
27.01653028,1439.382649	,1470.968405
27.04253028,1447.267543	,1453.674595
27.06853028,1448.059742	,1515.8523
27.09453028,1477.960766	,1504.87377
27.12053028,1460.042599	,1463.30631
27.14653028,1443.877656	,1449.648708
27.17253028,1474.420623	,1397.12679
27.19853028,1425.852684	,1440.490895
27.22453028,1431.47209	,1477.981675
27.25053028,1426.000392	,1470.050746
27.27653028,1395.058611	,1493.135535
27.30253028,1493.401856	,1529.619801
27.32853028,1525.905329	,1479.604226
27.35453028,1462.640711	,1462.935898
27.38053028,1418.103787	,1450.694399
27.40653028,1440.419953	,1523.725784
27.43253028,1472.153965	,1491.296449
27.45853028,1484.083781	,1496.246909
27.48453028,1416.894576	,1503.333292
27.51053028,1479.689848	,1529.019881
27.53653028,1456.424636	,1550.979449
27.56253028,1412.937287	,1444.520285
27.58853028,1376.643592	,1439.554889
27.61453028,1436.326821	,1460.074888
27.64053028,1451.632955	,1474.343369
27.66653028,1438.863676	,1500.689203
27.69253028,1445.903499	,1501.588038
27.71853028,1409.0462	,1458.162052
27.74453028,1408.657485	,1443.743951
27.77053028,1369.778924	,1495.343526
27.79653028,1379.637914	,1515.182059
27.82253028,1415.334987	,1492.845046
27.84853028,1410.534181	,1469.010111
27.87453028,1347.670608	,1417.459798
27.90053028,1405.303231	,1456.38754
27.92653028,1398.107973	,1495.736226
27.95253028,1414.88877	,1488.077269
27.97853028,1445.449486	,1424.327111
28.00453028,1453.077355	,1412.953986
28.03053028,1429.083445	,1459.475456
28.05653028,1397.794628	,1409.748371
28.08253028,1391.937495	,1505.219153
28.10853028,1384.016873	,1527.990941
28.13453028,1449.298586	,1548.784614
28.16053028,1406.920871	,1422.680468
28.18653028,1521.367733	,1400.622331
28.21253028,1554.754712	,1472.930282
28.23853028,1595.892747	,1483.607069
28.26453028,1664.726372	,1440.786878
28.29053028,1554.654954	,1431.50218
28.31653028,1638.912555	,1405.255386
28.34253028,1615.048163	,1465.686343
28.36853028,1576.91491	,1416.215889
28.39453028,1606.83122	,1437.600061
28.42053028,1508.041758	,1418.128149
28.44653028,1494.880871	,1381.073564
28.47253028,1541.464395	,1392.354673
28.49853028,1520.099593	,1391.60864
28.52453028,1446.096148	,1425.467318
28.55053028,1352.450976	,1426.196702
28.57653028,1386.065747	,1412.701313
28.60253028,1373.400987	,1506.369724
28.62853028,1391.229817	,1517.0006
28.65453028,1354.308151	,1457.865811
28.68053028,1375.805743	,1450.038078
28.70653028,1400.428821	,1432.736778
28.73253028,1379.89608	,1461.256566
28.75853028,1394.543272	,1469.006086
28.78453028,1400.527644	,1418.350139
28.81053028,1378.071492	,1360.789385
28.83653028,1383.715835	,1421.753437
28.86253028,1343.380633	,1404.665193
28.88853028,1402.872291	,1402.143662
28.91453028,1343.342378	,1387.571996
28.94053028,1381.079157	,1410.728422
28.96653028,1426.070815	,1438.772922
28.99253028,1388.316449	,1428.465195
29.01853028,1370.92114	,1432.396105
29.04453028,1356.960434	,1415.89917
29.07053028,1404.263085	,1353.077233
29.09653028,1389.727206	,1380.002616
29.12253028,1346.316211	,1421.96913
29.14853028,1353.173033	,1382.34059
29.17453028,1356.901836	,1383.810748
29.20053028,1370.646898	,1384.625614
29.22653028,1350.232545	,1397.489709
29.25253028,1343.574721	,1413.509497
29.27853028,1370.721083	,1444.275492
29.30453028,1319.67886	,1421.534562
29.33053028,1316.497288	,1410.980124
29.35653028,1342.799144	,1457.835512
29.38253028,1333.652593	,1483.73169
29.40853028,1372.614645	,1503.97479
29.43453028,1378.396226	,1491.848745
29.46053028,1386.732059	,1546.736745
29.48653028,1410.392167	,1678.392565
29.51253028,1419.884808	,1779.12846
29.53853028,1467.33438	,1843.268257
29.56453028,1474.591843	,1848.908565
29.59053028,1528.388666	,1814.226635
29.61653028,1700.785456	,1736.727219
29.64253028,1858.770533	,1632.633988
29.66853028,2018.150832	,1525.805781
29.69453028,2147.350067	,1438.259235
29.72053028,2170.108067	,1430.836772
29.74653028,2231.382417	,1491.338751
